district_code,state_code,state_name,district,year,crop,area_1000_ha,rainfall_mm,avg_temp_c,max_temp_c,min_temp_c,yield_kg_per_ha
63,20,Telangana,Adilabad,2000,BARLEY,0.0,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,0.0
63,20,Telangana,Adilabad,2000,CASTOR,1.57,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,350.32
63,20,Telangana,Adilabad,2000,CHICKPEA,2.69,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,501.86
63,20,Telangana,Adilabad,2000,COTTON,169.33,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,105.0
63,20,Telangana,Adilabad,2000,FINGER MILLET,0.0,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,0.0
63,20,Telangana,Adilabad,2000,GROUNDNUT,3.96,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,1558.08
63,20,Telangana,Adilabad,2000,KHARIF SORGHUM,47.37,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,1599.11
63,20,Telangana,Adilabad,2000,LINSEED,4.13,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,181.6
63,20,Telangana,Adilabad,2000,MAIZE,30.5,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,3132.13
63,20,Telangana,Adilabad,2000,MINOR PULSES,46.88,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,412.97
63,20,Telangana,Adilabad,2000,OILSEEDS,39.2,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,266.07
63,20,Telangana,Adilabad,2000,PEARL MILLET,0.52,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,596.15
63,20,Telangana,Adilabad,2000,PIGEONPEA,39.76,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,241.95
63,20,Telangana,Adilabad,2000,RABI SORGHUM,73.63,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,593.92
63,20,Telangana,Adilabad,2000,RAPESEED AND MUSTARD,0.0,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,0.0
63,20,Telangana,Adilabad,2000,RICE,77.47,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,2159.03
63,20,Telangana,Adilabad,2000,SAFFLOWER,0.35,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,428.57
63,20,Telangana,Adilabad,2000,SESAMUM,14.11,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,175.76
63,20,Telangana,Adilabad,2000,SORGHUM,121.0,1106.2299999999998,27.397916666666667,33.47083333333334,21.325,987.44
